TAMANHO;NOME;OBJETO;TIPO;FOTO;FUNDO;LOCAL;PERIODO;NOME_FINAL
2885502;DSCN8206.JPG;CELULAR;1;1;ASSOALHO;INTERNO;DIA;CELULAR_1_1_ASSOALHO_INTERNO_DIA_DSCN8206.JPG
3214874;DSCN8663.JPG;CELULAR;1;1;ASSOALHO;INTERNO;NOITE;CELULAR_1_1_ASSOALHO_INTERNO_NOITE_DSCN8663.JPG
2866803;DSCN8032.JPG;CELULAR;1;1;BRANCO;EXTERNO;DIA;CELULAR_1_1_BRANCO_EXTERNO_DIA_DSCN8032.JPG
3029514;DSCN9319.JPG;CELULAR;1;1;BRANCO;EXTERNO;NOITE;CELULAR_1_1_BRANCO_EXTERNO_NOITE_DSCN9319.JPG
2994309;DSCN8493.JPG;CELULAR;1;1;BRANCO;INTERNO;DIA;CELULAR_1_1_BRANCO_INTERNO_DIA_DSCN8493.JPG
2979406;DSCN8948.JPG;CELULAR;1;1;BRANCO;INTERNO;NOITE;CELULAR_1_1_BRANCO_INTERNO_NOITE_DSCN8948.JPG
3355334;DSCN7774.JPG;CELULAR;1;1;PEDRA;EXTERNO;DIA;CELULAR_1_1_PEDRA_EXTERNO_DIA_DSCN7774.JPG
3240598;DSCN9397.JPG;CELULAR;1;1;PEDRA;EXTERNO;NOITE;CELULAR_1_1_PEDRA_EXTERNO_NOITE_DSCN9397.JPG
3249723;DSCN7906.JPG;CELULAR;1;1;TAPETE;EXTERNO;DIA;CELULAR_1_1_TAPETE_EXTERNO_DIA_DSCN7906.JPG
3290975;DSCN9358.JPG;CELULAR;1;1;TAPETE;EXTERNO;NOITE;CELULAR_1_1_TAPETE_EXTERNO_NOITE_DSCN9358.JPG
3239738;DSCN8361.JPG;CELULAR;1;1;TAPETE;INTERNO;DIA;CELULAR_1_1_TAPETE_INTERNO_DIA_DSCN8361.JPG
3375702;DSCN8804.JPG;CELULAR;1;1;TAPETE;INTERNO;NOITE;CELULAR_1_1_TAPETE_INTERNO_NOITE_DSCN8804.JPG
3247438;DSCN8207.JPG;CELULAR;1;2;ASSOALHO;INTERNO;DIA;CELULAR_1_2_ASSOALHO_INTERNO_DIA_DSCN8207.JPG
